CustomerID,Segment,Cluster,Recency,Frequency,Monetary,predicted_clv_12m,CLV_Percentile,Risk_Multiplier,Retention_Priority_Score
18102,At Risk (High Value),Cluster 2,52,4,27834.61,177961.1420823724,99.98196139739042,1.0,99.98196139739042
17450,At Risk (High Value),Cluster 0,23,2,2028.84,146594.98194383507,99.91882628825687,1.0,99.91882628825687
17450,At Risk (High Value),Cluster 2,47,5,20649.04,146594.98194383507,99.91882628825687,1.0,99.91882628825687
17949,At Risk (High Value),Cluster 0,27,1,1314.0,43116.99771273539,99.63020864650352,1.0,99.63020864650352
15838,At Risk (High Value),Cluster 0,54,1,957.5,24910.18292786152,99.20630148517829,1.0,99.20630148517829
15838,At Risk (High Value),Cluster 3,23,1,957.5,24910.18292786152,99.20630148517829,1.0,99.20630148517829
13081,At Risk (High Value),Cluster 0,27,2,2366.78,19331.503949293154,98.98081895255848,1.0,98.98081895255848
13081,At Risk (High Value),Cluster 2,103,8,18870.12,19331.503949293154,98.98081895255848,1.0,98.98081895255848
17857,At Risk (High Value),Cluster 0,45,2,1340.7,18575.58410587993,98.94173531357104,1.0,98.94173531357104
15749,At Risk (High Value),Cluster 0,78,2,22998.4,15027.532060643054,98.83500691479766,1.0,98.83500691479766
15749,At Risk (High Value),Cluster 0,134,3,44534.3,15027.532060643054,98.83500691479766,1.0,98.83500691479766
15749,At Risk (High Value),Cluster 0,47,2,22998.4,15027.532060643054,98.83500691479766,1.0,98.83500691479766
15749,At Risk (High Value),Cluster 0,195,3,44534.3,15027.532060643054,98.83500691479766,1.0,98.83500691479766
15749,At Risk (High Value),Cluster 0,164,3,44534.3,15027.532060643054,98.83500691479766,1.0,98.83500691479766
15749,At Risk (High Value),Cluster 2,103,3,44534.3,15027.532060643054,98.83500691479766,1.0,98.83500691479766
15749,At Risk (High Value),Cluster 0,225,3,44534.3,15027.532060643054,98.83500691479766,1.0,98.83500691479766
15749,At Risk (High Value),Cluster 0,256,3,44534.3,15027.532060643054,98.83500691479766,1.0,98.83500691479766
17381,At Risk (High Value),Cluster 0,24,3,3603.72,14746.982744698274,98.7192592147195,1.0,98.7192592147195
16210,At Risk (High Value),Cluster 0,45,4,7000.64,14165.940546105814,98.61704046659851,1.0,98.61704046659851
16210,At Risk (High Value),Cluster 2,55,5,8866.94,14165.940546105814,98.61704046659851,1.0,98.61704046659851
16210,At Risk (High Value),Cluster 0,85,5,8866.94,14165.940546105814,98.61704046659851,1.0,98.61704046659851
16839,At Risk (High Value),Cluster 3,25,1,552.24,12537.29225620769,98.38855150021045,1.0,98.38855150021045
12921,At Risk (High Value),Cluster 3,22,2,687.8,12528.181160935588,98.34946786122302,1.0,98.34946786122302
16705,At Risk (High Value),Cluster 0,45,2,1131.72,10197.61545355856,98.0668630870062,1.0,98.0668630870062
16705,At Risk (High Value),Cluster 0,57,3,3620.83,10197.61545355856,98.0668630870062,1.0,98.0668630870062
16180,At Risk (High Value),Cluster 2,90,8,10254.18,10150.506749003996,98.03379231555529,1.0,98.03379231555529
16180,At Risk (High Value),Cluster 2,121,8,10254.18,10150.506749003996,98.03379231555529,1.0,98.03379231555529
17735,At Risk (High Value),Cluster 3,23,1,454.6,9915.31238094892,97.96163790511694,1.0,97.96163790511694
15482,At Risk (High Value),Cluster 0,104,2,548.44,8068.052354318614,97.45355059828033,1.0,97.45355059828033
15482,At Risk (High Value),Cluster 0,73,2,548.44,8068.052354318614,97.45355059828033,1.0,97.45355059828033
15482,At Risk (High Value),Cluster 0,94,4,1928.3,8068.052354318614,97.45355059828033,1.0,97.45355059828033
15482,At Risk (High Value),Cluster 0,45,2,548.44,8068.052354318614,97.45355059828033,1.0,97.45355059828033
14769,At Risk (High Value),Cluster 2,72,7,10073.36,7920.524967360273,97.37538332030546,1.0,97.37538332030546
12939,At Risk (High Value),Cluster 0,80,3,7228.32,7896.107380983205,97.30172569298298,1.0,97.30172569298298
12939,At Risk (High Value),Cluster 0,110,3,7228.32,7896.107380983205,97.30172569298298,1.0,97.30172569298298
17706,At Risk (High Value),Cluster 0,53,3,477.83,7859.7390043839005,97.26414527087968,1.0,97.26414527087968
17706,At Risk (High Value),Cluster 0,96,4,888.85,7859.7390043839005,97.26414527087968,1.0,97.26414527087968
17706,At Risk (High Value),Cluster 0,65,4,888.85,7859.7390043839005,97.26414527087968,1.0,97.26414527087968
17581,At Risk (High Value),Cluster 0,28,2,786.78,7855.505147204291,97.22506163189225,1.0,97.22506163189225
17581,At Risk (High Value),Cluster 0,44,3,1235.73,7855.505147204291,97.22506163189225,1.0,97.22506163189225
13001,At Risk (High Value),Cluster 2,118,11,8582.57,7812.931556791057,97.15140400456977,1.0,97.15140400456977
14062,At Risk (High Value),Cluster 0,69,4,3096.39,7475.405302275965,96.8612831459323,1.0,96.8612831459323
17340,At Risk (High Value),Cluster 0,69,2,4360.39,7471.157241940485,96.82219950694486,1.0,96.82219950694486
17340,At Risk (High Value),Cluster 0,100,2,4360.39,7471.157241940485,96.82219950694486,1.0,96.82219950694486
16745,At Risk (High Value),Cluster 2,76,17,7180.7,6307.327950956655,96.07961036618363,1.0,96.07961036618363
16745,At Risk (High Value),Cluster 2,107,17,7180.7,6307.327950956655,96.07961036618363,1.0,96.07961036618363
17017,At Risk (High Value),Cluster 0,47,5,2357.64,6176.419872444874,95.87216643617342,1.0,95.87216643617342
13629,At Risk (High Value),Cluster 0,56,2,1425.0,6066.414261059311,95.72334796464433,1.0,95.72334796464433
13488,At Risk (High Value),Cluster 3,23,1,1381.92,6020.769022197035,95.68576754254103,1.0,95.68576754254103
18092,At Risk (High Value),Cluster 0,76,4,3111.84,6005.277702427005,95.64668390355361,1.0,95.64668390355361
18092,At Risk (High Value),Cluster 0,45,4,3111.84,6005.277702427005,95.64668390355361,1.0,95.64668390355361
14952,At Risk (High Value),Cluster 0,105,7,3534.61,5827.820609360714,95.51139438398172,1.0,95.51139438398172
14952,At Risk (High Value),Cluster 0,61,3,2183.83,5827.820609360714,95.51139438398172,1.0,95.51139438398172
18229,At Risk (High Value),Cluster 3,22,2,653.2,5534.041511286454,95.21075100715531,1.0,95.21075100715531
16182,At Risk (High Value),Cluster 0,93,4,6617.65,5248.308061160787,94.81089531597618,1.0,94.81089531597618
12980,At Risk (High Value),Cluster 2,178,9,7374.9,5143.554794402619,94.64854789248993,1.0,94.64854789248993
12980,At Risk (High Value),Cluster 2,147,9,7374.9,5143.554794402619,94.64854789248993,1.0,94.64854789248993
12980,At Risk (High Value),Cluster 0,58,5,3673.74,5143.554794402619,94.64854789248993,1.0,94.64854789248993
12980,At Risk (High Value),Cluster 2,117,9,7374.9,5143.554794402619,94.64854789248993,1.0,94.64854789248993
13324,At Risk (High Value),Cluster 0,102,7,3798.99,5096.032860310748,94.46214899885756,1.0,94.46214899885756
13324,At Risk (High Value),Cluster 0,58,2,1110.6,5096.032860310748,94.46214899885756,1.0,94.46214899885756
18055,At Risk (High Value),Cluster 0,45,3,1751.12,5026.647903654261,94.2907822740665,1.0,94.2907822740665
18055,At Risk (High Value),Cluster 0,67,5,2394.03,5026.647903654261,94.2907822740665,1.0,94.2907822740665
13139,At Risk (High Value),Cluster 0,83,2,1170.02,4922.6851868592485,94.01569358427034,1.0,94.01569358427034
15694,At Risk (High Value),Cluster 0,45,3,1230.12,4913.361444028433,93.9811195959353,1.0,93.9811195959353
15694,At Risk (High Value),Cluster 0,105,8,3290.78,4913.361444028433,93.9811195959353,1.0,93.9811195959353
14944,At Risk (High Value),Cluster 0,72,2,754.29,4893.8121628687695,93.94504239071614,1.0,93.94504239071614
15502,At Risk (High Value),Cluster 0,83,3,929.4,4835.351410558498,93.77367566592508,1.0,93.77367566592508
15502,At Risk (High Value),Cluster 0,143,4,2640.46,4835.351410558498,93.77367566592508,1.0,93.77367566592508
15502,At Risk (High Value),Cluster 0,82,4,2640.46,4835.351410558498,93.77367566592508,1.0,93.77367566592508
15502,At Risk (High Value),Cluster 0,24,3,929.4,4835.351410558498,93.77367566592508,1.0,93.77367566592508
15502,At Risk (High Value),Cluster 0,55,3,929.4,4835.351410558498,93.77367566592508,1.0,93.77367566592508
15502,At Risk (High Value),Cluster 0,112,4,2640.46,4835.351410558498,93.77367566592508,1.0,93.77367566592508
18073,At Risk (High Value),Cluster 2,135,12,3859.82,4794.491953482141,93.70302447237087,1.0,93.70302447237087
18073,At Risk (High Value),Cluster 2,104,12,3859.82,4794.491953482141,93.70302447237087,1.0,93.70302447237087
15939,At Risk (High Value),Cluster 2,110,15,6115.01,4741.298026425798,93.56172208526246,1.0,93.56172208526246
15939,At Risk (High Value),Cluster 2,79,15,6115.01,4741.298026425798,93.56172208526246,1.0,93.56172208526246
14961,At Risk (High Value),Cluster 0,47,2,1182.7,4730.652989038932,93.50309662678131,1.0,93.50309662678131
