CustomerID,Snapshot_Date,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,predicted_clv_12m,CLV_Quartile
16928,2010-12-31,29,1,116.25,1,1,1,111,Lost,Cluster 1,2346.064268415358,Q4 (High)
17924,2010-12-31,29,1,279.0,1,2,2,122,Lost,Cluster 1,2223.6870423111486,Q4 (High)
16218,2010-12-31,29,1,471.3,1,4,4,144,At Risk (High Value),Cluster 3,2204.044566273081,Q4 (High)
14307,2010-12-31,29,1,783.11,1,4,5,145,At Risk (High Value),Cluster 3,1891.7270198579831,Q4 (High)
13047,2010-12-31,29,3,366.63,1,5,3,153,At Risk (High Value),Cluster 0,2405.9624665031465,Q4 (High)
14390,2010-12-31,28,1,223.7,1,2,2,122,Lost,Cluster 1,3556.18544826727,Q4 (High)
15752,2010-12-31,28,1,259.65,1,2,2,122,Lost,Cluster 3,2053.095363483037,Q4 (High)
17567,2010-12-31,28,1,517.95,1,4,4,144,At Risk (High Value),Cluster 3,3117.4726457690226,Q4 (High)
15955,2010-12-31,28,1,572.38,1,4,4,144,At Risk (High Value),Cluster 3,3171.253170284236,Q4 (High)
15093,2010-12-31,28,1,623.73,1,4,4,144,At Risk (High Value),Cluster 3,3178.2434569823554,Q4 (High)
13941,2010-12-31,28,1,1095.12,1,4,5,145,At Risk (High Value),Cluster 0,3166.447505653627,Q4 (High)
17581,2010-12-31,28,2,786.78,1,5,5,155,At Risk (High Value),Cluster 0,7855.505147204291,Q4 (High)
17850,2010-12-31,28,34,5391.21,1,5,5,155,At Risk (High Value),Cluster 2,2667.600054127935,Q4 (High)
15769,2010-12-31,27,1,91.8,1,1,1,111,Lost,Cluster 1,42524.16238603531,Q4 (High)
16905,2010-12-31,27,1,254.4,1,2,2,122,Lost,Cluster 3,2335.7554863597725,Q4 (High)
17949,2010-12-31,27,1,1314.0,1,4,5,145,At Risk (High Value),Cluster 0,43116.99771273539,Q4 (High)
17238,2010-12-31,27,2,370.09,1,4,3,143,At Risk (High Value),Cluster 3,2854.814012904558,Q4 (High)
13013,2010-12-31,27,2,1528.34,1,5,5,155,At Risk (High Value),Cluster 0,2786.242605224406,Q4 (High)
13081,2010-12-31,27,2,2366.78,1,5,5,155,At Risk (High Value),Cluster 0,19331.503949293154,Q4 (High)
17809,2010-12-31,27,3,1251.5,1,5,5,155,At Risk (High Value),Cluster 0,4284.6681472013925,Q4 (High)
16814,2010-12-31,25,1,273.29,1,2,2,122,Lost,Cluster 3,4987.532554621131,Q4 (High)
16168,2010-12-31,25,1,275.8,1,2,2,122,Lost,Cluster 3,3022.164834516465,Q4 (High)
16241,2010-12-31,25,1,277.65,1,2,2,122,Lost,Cluster 3,2078.6123908051936,Q4 (High)
16327,2010-12-31,25,1,505.0,2,4,4,244,At Risk (High Value),Cluster 3,2706.018166087008,Q4 (High)
16839,2010-12-31,25,1,552.24,2,4,4,244,At Risk (High Value),Cluster 3,12537.29225620769,Q4 (High)
17059,2010-12-31,25,1,722.36,2,4,5,245,At Risk (High Value),Cluster 3,2013.336551782428,Q4 (High)
17402,2010-12-31,25,2,459.97,2,4,4,244,At Risk (High Value),Cluster 3,1943.628716791481,Q4 (High)
12841,2010-12-31,25,2,505.99,2,4,4,244,At Risk (High Value),Cluster 3,3146.1762586709187,Q4 (High)
15984,2010-12-31,24,1,122.7,2,1,1,211,Lost,Cluster 1,2324.4531703785988,Q4 (High)
15301,2010-12-31,24,1,673.37,2,4,5,245,At Risk (High Value),Cluster 3,3591.876164821072,Q4 (High)
17920,2010-12-31,24,2,663.06,2,5,5,255,At Risk (High Value),Cluster 3,3077.838140257707,Q4 (High)
15502,2010-12-31,24,3,929.4,2,5,5,255,At Risk (High Value),Cluster 0,4835.351410558498,Q4 (High)
17381,2010-12-31,24,3,3603.72,2,5,5,255,At Risk (High Value),Cluster 0,14746.982744698274,Q4 (High)
13880,2010-12-31,23,1,97.8,2,1,1,211,Lost,Cluster 1,2672.9849645118297,Q4 (High)
17091,2010-12-31,23,1,293.45,2,2,3,223,Lost,Cluster 3,2927.000581214616,Q4 (High)
17735,2010-12-31,23,1,454.6,2,4,4,244,At Risk (High Value),Cluster 3,9915.31238094892,Q4 (High)
14282,2010-12-31,23,1,571.0,2,4,4,244,At Risk (High Value),Cluster 3,2716.763186948413,Q4 (High)
14739,2010-12-31,23,1,713.88,2,4,5,245,At Risk (High Value),Cluster 3,2675.1917377219847,Q4 (High)
15838,2010-12-31,23,1,957.5,2,4,5,245,At Risk (High Value),Cluster 3,24910.18292786152,Q4 (High)
13488,2010-12-31,23,1,1381.92,2,4,5,245,At Risk (High Value),Cluster 3,6020.769022197035,Q4 (High)
17954,2010-12-31,23,2,128.68,2,4,1,241,At Risk (High Value),Cluster 3,1989.96188751832,Q4 (High)
16904,2010-12-31,23,2,338.7,2,4,3,243,At Risk (High Value),Cluster 3,2852.5213468610673,Q4 (High)
17419,2010-12-31,23,2,374.27,2,4,3,243,At Risk (High Value),Cluster 3,3226.286012538644,Q4 (High)
17450,2010-12-31,23,2,2028.84,2,5,5,255,At Risk (High Value),Cluster 0,146594.98194383507,Q4 (High)
14866,2010-12-31,22,1,103.68,2,1,1,211,Lost,Cluster 1,10940.915571866166,Q4 (High)
16081,2010-12-31,22,1,157.6,2,1,1,211,Lost,Cluster 3,2228.77237540613,Q4 (High)
14766,2010-12-31,22,1,180.4,2,2,2,222,Lost,Cluster 3,2008.3463227343636,Q4 (High)
13523,2010-12-31,22,1,566.95,2,4,4,244,At Risk (High Value),Cluster 3,2712.1521439431317,Q4 (High)
15750,2010-12-31,22,2,340.52,2,4,3,243,At Risk (High Value),Cluster 3,1903.7902640775264,Q4 (High)
13599,2010-12-31,22,2,352.84,2,4,3,243,At Risk (High Value),Cluster 3,3977.5761430034977,Q4 (High)
18229,2010-12-31,22,2,653.2,2,5,4,254,At Risk (High Value),Cluster 3,5534.041511286454,Q4 (High)
12921,2010-12-31,22,2,687.8,2,5,5,255,At Risk (High Value),Cluster 3,12528.181160935588,Q4 (High)
17924,2011-01-31,60,1,279.0,1,2,2,122,Lost,Cluster 1,2223.6870423111486,Q4 (High)
13047,2011-01-31,60,3,366.63,1,5,3,153,At Risk (High Value),Cluster 0,2405.9624665031465,Q4 (High)
14390,2011-01-31,59,1,223.7,1,2,2,122,Lost,Cluster 1,3556.18544826727,Q4 (High)
15752,2011-01-31,59,1,259.65,1,2,2,122,Lost,Cluster 1,2053.095363483037,Q4 (High)
16186,2011-01-31,59,1,307.68,1,2,3,123,Lost,Cluster 1,3065.443619058371,Q4 (High)
14388,2011-01-31,59,1,312.8,1,2,3,123,Lost,Cluster 1,2455.2360679694366,Q4 (High)
